name,id,gender,species,approx_breed_mix,intake_date,adoption_date,approx_date_of_birth,weight,fur_color,fur_length_type,prev_location,extraversion_towards_same_species,extraversion_towards_humans,openness,energy,affection
Ambrosia,D2017201,F,Dog,Shepherd mix,3/22/2017,,9/16/2015,44,Tan,Medium,Hollister Police Animal Care & Services,5,4,4,3,3
Daisy,D2017018,F,Dog,Doberman mix,1/6/2017,12/12/2018,10/27/2016,38,Black/brown,Short,Hollister Police Animal Care & Services,3,2,3,2,2
Stitch,D2018212,M,Dog,Terrier mix,6/22/2018,,6/21/2017,22,Black/brown,Short,San Jose Animal Care Center,5,5,4,1,4
Obie,D2017586,M,Dog,Terrier mix,11/01/2017,11/09/2018,10/10/2013,41,Tan,Wirehaired,Selma Second Chance Animal Shelter,4,3,3,5,1
Caliber,D2017544,M,Dog,Terrier mix,09/08/2017,9/7/2018,9/1/2013,17,Brown,Short,Hollister Police Animal Care & Services,1,2,2,1,2
Jasper,D2017374,M,Dog,Terrier mix,6/7/2017,"8/16/2018 (transferred to sanctuary, Rosten Kennels)",6/8/2011,19,Tan,Medium rough,Hollister Police Animal Care & Services,4,3,4,3,3
Brody,D2018193,M,Dog,Chow/shepherd mix,6/8/2018,,5/31/2016,46,Brown,Medium,Delano Police Department Animal Control,1,2,4,3,2
Amore,D2018036,M,Dog,Chihuahua mix,2/9/2018,,8/1/2016,6,Tan,Wireharied,Hollister Police Animal Care & Services,2,4,4,3,3
Skippy,D2018292,M,Dog,Border Collie mix,8/15/2018,12/5/2018,8/24/2017,41,Black,Short,Selma Second Chance Animal Shelter,3,1,2,3,1
Larry,D2018253,M,Dog,Terrier/shepherd mix,7/23/2018,,3/25/2018,22,Brown,Short,Selma Second Chance Animal Shelter,1,5,5,3,4
Paris,D2018360,F,Dog,Terrier mix,9/17/2018,12/26/2018,2/28/2018,17,Brown,Short,Madera County Animal Services,1,4,4,3,4
Catelyn,C2016123,F,Cat,Domestic short-hair,3/29/2016,3/20/2018,3/31/2015,10,Black,Short,San Jose Animal Care Center,,,,,
Hope,C2017506,F,Cat,Domestic short-hair,08/31/2017,08/03/2018,9/1/2012,11,Grey,Short,,,,,,
Donica,C2018056,F,Cat,Domestic short-hair,3/28/2018,1/9/2019,9/30/2010,9,Calico,Short,Humane Society of the North Bay,,,,,
Kitty,C2018010,F,Cat,Domestic short-hair,1/25/2018,11/07/2018,1/28/2008,14,Tortie,Short,Central California SPCA,,,,,
Zeus,D2018092,M,Dog,Chihuahua mix,3/19/2018,9/9/2018,3/20/2015,7,Grey,Bald/short,Selma Second Chance Animal Shelter,4,4,4,4,
Dutchess,C2018111,F,Cat,Domestic short-hair,5/3/2018,12/29/2018,5/4/2015,7,Calico,Short,San Jose Animal Care Center,,,,,